Site Name,Address,Post Code,Location Type,Ward,Sticker,Postcode area,Site Number,UPRN,Latitude,Longitude,y,x,Recyclables-Mixed Glass,Recyclables-Paper,Recyclables-Textiles,Recyclables Small Electrical,Non LCC Banks,Type,Tally of Sites,Cleaning,No of  Glass Banks,Apr 16 Glass Tonnages Kg,May 16 Glass Tonnages Kg,Jun 16 Glass Tonnages Kg,Jul 16 Glass Tonnages Kg,Aug 16 Glass Tonnages Kg,Sep 16 Glass Tonnages Kg,Oct 16 Glass Tonnages Kg,Nov 16 Glass Tonnages Kg,Dec 16 Glass Tonnages Kg,Jan 17 Glass Tonnages Kg,Feb 17 Glass Tonnages Kg,Mar 17 Glass Tonnages Kg,Apr 17 Glass Tonnages Kg,May 17 Glass Tonnages Kg,Jun 17 Glass Tonnages Kg,Jul 17 Glass Tonnages Kg,Aug 17 Glass Tonnages Kg,Sep 17 Glass Tonnages Kg,Oct 17 Glass Tonnages Kg,Nov 17 Glass Tonnages Kg,Dec 17 Glass Tonnages Kg,Jan 18 Glass Tonnages Kg,Feb 18 Glass Tonnages Kg,Mar 18 Glass Tonnages Kg,04/18 Glass Tonnages Kg,05/18 Glass Tonnages Kg,06/18 Glass Tonnages Kg,07/18 Glass Tonnages Kg,08/18 Glass Tonnages Kg,09/18 Glass Tonnages Kg,10/18 Glass Tonnages Kg,11/18 Glass Tonnages Kg,12/18 Glass Tonnages Kg,01/19 Glass Tonnages Kg,02/19 Glass Tonnages Kg,03/19 Glass Tonnages Kg,Total from Apr 19,12 Month Average
East End Park WMC (closed),15 Vinery Avenue ,LS9 9LX,Social Club,Burmantofts and Richmond Hill,Y,LS9,21990,72561691,53.796132,-1.510744,433425,432325,Y,,,,,Glass,1,,2,723,749,"1,578",426,"1,063","1,248","1,601","2,067","2,464",950,596,834,690,"1,306",475,"1,226","1,632",186,,410,776,502,"1,067","1,116",717,"1,545",797,893,"1,143",336,"1,329",531,"1,296",0,693,571,9851,821
East Keswick Village Hall,"School Lane, East Keswick",LS17 9DA,Business,Alwoodley,,LS17,,72389414,53.893829,-1.449648,444324,436265,N,Y,,,,Paper,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Keswick Village Hall,"School Lane, East Keswick",LS17 9DA,Business,Harewood,Y,LS17,,72389414,53.893829,-1.449648,444324,436265,,Y,,,,Paper,1,,1,,"1,459","1,017",,,541,,"1,991",507,"1,452",298,,,,,,,177,"1,075",758,,,,,,,,,,,,,,,,,,
East Leeds Community Sports Club,Easy Road,LS9 8QS,Sports Club,Burmantofts and Richmond Hill,Y,LS9,21993,72062721,53.791381,-1.518374,432893,431826,Y,,,,,Glass,1,,1,,575,277,,,497,79,359,,214,298,,,456,,,424,,115,,77,493,,590,,,341,526,,,91,571,0,,,,1529,306
East Leeds Cricket Club,Pontefract Lane,LS9 0PT,Sports Club,Burmantofts and Richmond Hill,,LS9,21991,72565932,53.790231,-1.511753,432768,432263,Y,,,,,Glass,1,,1,,575,436,159,74,156,200,771,,,,,762,,,371,,90,227,105,,,,472,,77,"1,050",,,,363,,240,,377,,2108,422
East Leeds Snooker C,Sandleas Way,LS15 7AF,Sports Club,Cross Gates and Whinmoor,Y,LS15,21992,72178034,53.808708,-1.429792,434864,437646,Y,,,,,Glass,1,,1,244,,197,,138,,930,63,143,254,,317,,172,,247,,,,,,,305,,,520,0,0,,,541,,161,527,,,1748,291
Easterley Cross,Off St Wilfreds Ave,LS8 3PB,Road Side,Gipton and Harehills,,LS8,22959,72061576,53.816255,-1.507337,435665,432534,Y,,,,,Glass,,,,,792,"3,338","1,728","1,625",,"1,362","1,916",,,,,,,466,491,281,221,648,"1,021",,,376,,,,394,,0,,163,,641,,189,,1386,277
Easterly Mount,Gipton,LS8 3PH,Road Side,Gipton and Harehills,,LS8,21994,72195894,53.817053,-1.505698,435755,432641,Y,,,,,Glass,1,,1,,,926,159,258,,159,91,,169,550,,,258,,327,187,,,,165,334,,,,,"1,050",0,557,,0,,0,"3,024",,,4632,772
Echem,147 Kirkstall Road,LS3 1JN,Business,Armley,Y,LS3,22331,72112771,53.802497,-1.572149,434107,428276,Y,,,,,Glass,1,,1,,,,,,,,,,,,,662,,,,,511,965,471,516,,,,,,,,,,,638,,,,,638,638
Edmund House Club,Pontefract Lane,LS9 8QJ,Social Club,Burmantofts and Richmond Hill,Y,LS9,21995,72538936,53.792032,-1.514814,432967,432060,Y,,,,,Glass,1,,1,,487,556,308,"1,938",,"2,158",538,,350,447,300,137,517,,502,187,84,651,257,154,344,490,,429,,341,438,,431,,308,328,0,0,606,2881,320
Edward 7th WMC,"65 Leeds Road, Allerton Bywater",WF10 2HE,Social Club,Kippax and Methley,Y,WF10,21996,72322947,53.752401,-1.383449,428625,440752,Y,,,,,Glass,1,,1,,,868,,"1,072",340,940,"1,482",704,998,298,712,558,726,"1,083",330,226,"1,635","1,035",412,972,"1,549",457,"1,828",215,"1,860",739,"3,391",965,"1,166","1,054","1,523",648,"1,538",623,"1,524",15245,"1,270"
Falconers Rest Public House,"Thorpe Lane, Middleton.",LS10 4EP,Pub,Ardsley and Robin Hood,Y,LS10,22002,72566749,53.738591,-1.543144,427009,430232,Y,,,,,Glass,1,,1,608,158,"1,112",232,755,257,267,701,208,587,880,,666,273,466,352,351,"3,029",,,876,484,188,432,429,686,683,834,681,172,557,161,561,0,580,571,5915,493
Farsley Celtic AFC,Throstle Nest,LS28 5AY,Sports Club,Calverley and Farsley,Y,LS28,22005,72275092,53.80962,-1.664091,434867,422217,Y,,,,,Glass,1,,1,446,488,416,331,484,290,396,,524,354,190,721,,521,585,"1,011",359,"2,512","1,686","1,275",326,83,,444,346,642,673,222,307,"1,290",312,300,847,"1,053","1,058",731,7782,648
Farsley Celtic AFC Car Park,"Newlands, Farsley, Pudsey",LS28 5BE,Sports Club,Calverley and Farsley,Y,LS28,22006,72275092,53.80962,-1.664091,434867,422217,Y,,,,,Glass,1,,1,847,"1,360",665,"1,736",955,"1,432","1,023",248,"2,115","1,436",,561,,"1,328",727,552,"1,770","1,704","2,181",774,"1,743","1,485","1,611","2,265","1,716","1,913","1,219","1,569","1,443","2,453",950,"1,000","3,604","2,114",697,946,19625,"1,635"
Farsley Cricket Club,"The Pavillion, Red Lane, Farlsey ",LS28 5JE,Sports Club,Calverley and Farsley,,LS28,22970,72275499,53.813997,-1.677057,435350,421361,Y,,,,,Glass,1,,1,,,,,,,,,,,,,,,,,,,117,,,,"2,048",710,,,430,,,0,,,191,,,,621,207
Farsley WMC,"School Sreet off Wesley Street, Farsley",LS28 5EU,Social Club,Calverley and Farsley,Y,LS28,22007,72273773,53.812369,-1.670022,435171,421825,Y,,,,,Glass,1,,1,"1,048",969,"1,114","1,428","1,817","1,420","1,124",660,"1,227","1,333",548,"1,088",853,"1,151",727,,"2,088",,,,"1,350",746,"1,638","1,938","1,299",,596,"1,138",850,"1,133",,"2,128","1,811",737,623,"1,128",11443,"1,144"
Fearnville Leisure Centre,"Oakwood Lane, Fearnville",LS8 3LF,Leisure Centre,Gipton and Harehills,Y,LS8,22008,72148595,53.815112,-1.488575,435547,433770,Y,,,,,Glass,1,,3,"2,027","1,429","1,926","2,105",,"1,629","1,563","1,008",,"1,017","2,097","1,611",2,"3,095",,"2,566","1,400",,,,"1,095","1,705","2,000",712,"1,301","2,440","1,909",819,"2,083","1,835","2,984","2,340","1,853","3,550","1,447","1,194",23754,"1,980"
Fisherman's Car Park,Weetwood Lane ,LS16 5LT,Restaurant,Weetwood,Y,LS16,21938,72224560,53.828198,-1.582437,436962,427582,Y,Y,,,,"Glass, Paper",1,,1,"2,568","2,505","2,634","2,261","2,078","2,070","1,479","2,614","3,084","2,291","2,418","2,219","2,083","2,451","2,429","2,784","2,286",,,,"2,006","2,726","1,781","2,375","2,733","1,994","2,101","2,614","1,759","1,673","2,409","2,233","2,509","2,123","1,806","2,800",26755,"2,230"
Football World Leeds,Pontefract Lane,LS9 0RA,Business,Burmantofts and Richmond Hill,,LS9,22011,72672526,53.785803,-1.505977,432278,432647,Y,,,,,Glass,1,,1,,287,,,232,,223,,,602,,,,,,535,,,208,185,,,237,,,,352,,145,,581,,0,,0,,1078,216
Fox & Hound,"Hall Park Road, Walton, Wetherby",LS23 7DQ,Pub,Wetherby,Y,LS23,22013,72393838,53.924192,-1.326404,447772,444332,Y,Y,,,,"Glass, Paper",1,,1,,320,191,513,,245,"2,441",,268,233,180,,371,"1,426",537,168,,626,732,494,302,443,,710,,"1,403",300,,,486,269,260,0,264,,0,2981,373
"Fox & Hounds, Bramhope, Public car park","Old Lane, Bramhope",LS16 9AX,Pub,Adel and Wharfedale,Y,LS16,22013,72346130,53.885381,-1.624689,443309,424767,Y,,,,,Glass,1,,5,"6,585","2,741","6,069","1,867","4,946","5,189",,"5,520","5,963","6,479","5,020","6,699","5,609",,"7,733","4,873","5,987",354,118,740,"7,399","5,939","4,708","8,916","5,960","3,298","7,655","6,760","6,188","6,308","8,505","5,365","8,319","8,070","2,675","8,141",77244,"6,437"
Fox and Grapes,"124 Smalewell Road, Pudsey",LS28 8HU,Pub,Pudsey,Y,LS28,22014,72391238,53.851198,-1.391727,439612,440112,Y,,,,,Glass,1,,1,158,496,,363,,,752,,,369,835,191,,,619,300,166,677,117,,,,105,266,,375,430,71,181,825,100,145,351,209,299,179,3165,288
Fox Inn,"Main Street, Thorner",LS14 3DX,Pub,Harewood,Y,LS14,22015,72385674,53.8573,-1.428067,440271,437716,Y,,,,,Glass,1,,1,412,426,"1,069",526,441,745,894,,"1,105",350,,409,364,"1,113",276,994,459,524,,360,708,807,612,355,"1,235",,0,961,400,476,461,501,,395,588,661,5679,568
Gaping Goose Public House,"41 Selby Road, Garforth",LS25 1LR,Hotel,Garforth and Swillington,Y,LS25,22018,72314899,53.787068,-1.399182,432473,439682,Y,,,,,Glass,1,,1,367,599,,477,341,267,159,731,248,508,354,316,825,269,,738,,534,139,,244,,,953,,594,352,341,,504,336,,656,130,,329,3241,405
Gardeners Arms,"Wide Lane, Morley",LS27 8SU,Pub,Morley South,,LS27,22019,72366983,53.746755,-1.580707,427902,427749,Y,,,,,Glass,1,,2,643,458,516,520,"1,938",513,918,,"1,118",942,,678,"1,011",729,"1,348",606,750,,314,361,"1,341",,"1,060","1,164",997,"1,859",168,"1,976",764,"1,267","1,557",996,"1,399","1,644","1,130","1,483",15239,"1,270"
Gardeners Arms Public House,"383 Leeds Road, Lofthouse",WF3 3QE,Pub,Ardsley and Robin Hood,Y ,WF3,22020,72700363,53.7355,-1.504869,426682,432759,Y,,,,,Glass,1,,2,304,,,,,,467,"1,530",,203,,169,,,494,,,90,,,"1,341",344,606,,,641,168,,681,,227,,"1,399",0,145,,3261,466
Garforth Country Club,"19 Aberford Road, Garforth",LS25 1PZ,Social Club,Garforth and Swillington,Y,LS25,22021,72527225,53.796956,-1.385164,433581,440596,Y,,,,,Glass,1,,1,105,956,560,592,168,679,501,497,661,363,619,566,632,410,188,878,489,,236,288,,493,,449,,525,704,341,125,343,252,37,"1,179",950,312,480,5247,477
Garforth Cricket Club,"Church Lane, Garforth",LS25 1PE,Sports Club,Garforth and Swillington,Y,LS25,22022,72314295,53.792869,-1.385649,433126,440568,Y,,,,,Glass,1,,1,401,,"1,083",,"1,216",203,318,,,544,93,,,415,,326,,"1,997",851,"1,244",442,,,,512,,88,,146,,168,,,169,90,,1173,195
Garforth Golf Club ,"Long Lane, Garforth",LS25 2DS,Sports Club,Harewood,Y,LS25,22023,72536177,53.812756,-1.388441,435337,440365,Y,,,,,Glass,1,,1,,236,,,426,780,557,,318,,366,,,,680,,401,409,,,,,,354,,,528,338,,,671,,165,,623,,2326,465
Garforth Leisure Centre,"Ninelands Lane, Garforth",LS25 1NX,Leisure Centre,Garforth and Swillington,Y,LS25,22024,72555715,53.791432,-1.37553,432972,441236,Y,,,,,Glass,1,,3,"1,046","1,783",,"1,072","4,011",,"1,087",581,"2,164","1,996","1,206","1,032",837,"1,306",497,"2,459","1,275",712,120,,442,845,"1,732","1,983",907,"2,533","1,044",947,"1,703","1,372","1,090","2,159","1,286","1,749",316,,15105,"1,373"
Garforth WMC,"Barley Hill Road, Garforth ",LS25 1AU,Social Club,Garforth and Swillington,Y,LS25,22025,72528293,53.792131,-1.394358,433039,439995,Y,,,,,Glass,1,,1,210,314,552,254,84,672,719,497,408,363,530,615,434,269,282,574,237,,312,,530,247,,594,568,616,521,170,167,257,252,146,753,216,113,549,4328,361
Gathorne Terrace,Roundhay Road,LS8 5EZ,Road Side,Chapel Allerton,Y,LS8,22026,72635865,53.811484,-1.523817,435127,431452,Y,,,,,Glass,1,,1,255,525,215,,303,272,137,256,606,551,282,176,572,,702,299,,371,230,315,274,663,,572,,,920,307,198,602,270,186,"1,070","28,828",289,0,32672,"3,267"
Gildersome Cricket Club,"Street Lane, Gildersome",LS27 7HX,Sports Club,Morley North,,LS27,22030,72356000,53.75258,-1.635105,428530,424158,Y,,,,,Glass,1,,1,304,"1,179",,,969,181,,327,,439,,,,430,,,,"1,475",729,"2,091",,,,463,,,,560,,,244,,,0,,0,804,201
Gipton WMC,Coldcotes Circus,LS9 6QE,Social Club,Gipton and Harehills,,LS9,22031,72541103,53.808259,-1.493989,434782,433419,Y,,,,,Glass,1,,3,107,229,277,,"1,074",,670,181,131,508,,493,474,273,,371,97,197,,253,,418,,399,429,,788,351,,,489,,161,0,377,,2594,371
Gildersome Meeting Hall (next to library),Town Street,LS27 7AB,Business,Morley North,,LS27,,72356280,53.757995,-1.628677,429135,424579,,Y,,,,Paper,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Acre Car Park 1,"Arthington Road, Bramhope",LS16 8BQ,Car Park,Adel and Wharfedale,Y,LS16,22034,72152281,53.871478,-1.592083,441774,426919,Y,,,,,Glass,1,,3,"2,306",704,697,"2,188",213,"3,162","1,910","2,896","5,995","1,167",,"2,860",488,"1,024","1,291","1,975","1,905",,,,"1,072","1,541","2,470","1,794",696,920,"1,591","1,828","1,498","1,523",,"1,436","2,588","2,599","1,515","2,085",18279,"1,662"
Glossop View,Glossop View,LS6 2LL,Road Side,Headingley,,LS6,,72092425,53.816636,-1.553,435688,429527,,,Y,,,Textile,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Acre Car Park 2,Otley Road,LS16 9JX,Car Park,Adel and Wharfedale,Y,LS16,22035,72152281,53.871478,-1.592083,441774,426919,Y,,,,,Glass,1,,3,"1,504",,,,"1,213",270,,,"2,780",409,"1,794","2,214",1,"2,002","2,348","1,196","1,292","1,766",,"1,333","1,756","1,654","1,474","1,169","1,071","2,218",341,,,,"2,172",,,,,,5803,"1,451"
Golden Lion,Beeston Road,LS11 8RP,Pub,Beeston and Holbeck,Y,LS11,22037,72018326,53.783744,-1.551699,432029,429636,Y,,,,,Glass,1,,1,,540,597,,81,407,,,488,,281,264,,347,350,427,215,505,322,684,,568,316,278,,390,218,,521,,233,,247,"1,798",151,,3558,508
Grand Indian Lounge,"40 Wakefield Road, Swillington",LS26 8DJ,Restaurant,Garforth and Swillington,Y,LS26,22254,72330038,53.767576,-1.419957,430293,438331,Y,,,,,Glass,1,,1,367,863,"1,043",866,"1,696","1,064","1,861","1,357","1,237",796,"1,215",,,,"1,249",893,"1,500",,,,"1,461",776,714,619,"1,022","1,673",598,"1,133","1,646",522,,"1,157","1,207",803,626,658,11045,"1,004"
Grange Park Sports Club,"Grange Park, Old Boston Road",LS22 5DY,Sports Club,Wetherby,Y,LS22,22356,72685905,53.916968,-1.371633,446941,441369,Y,,,,,Glass,1,,1,,,271,147,63,,73,347,145,117,434,,161,,153,254,,,,,,,,,,,615,,0,,,130,,"1,280","1,515",,3540,708
Great Preston Snooker Club (former Miners Welfair Club),"Berry Lane, Great Preston",LS26 8AX,Social Club,Garforth and Swillington,Y,LS26,22040,72328130,53.760999,-1.3898,429578,440325,Y,,,,,Glass,1,,3,962,"18,353","1,191","1,502",925,849,"1,025","2,331","1,419",968,"1,149",759,"1,189","1,652",155,"1,589","1,314",,,,,"1,363",885,932,"1,139","1,860","1,156","1,403","1,572",,"1,054","1,418",904,,181,843,11529,"1,153"
Gusto's Restaurant,151 Otley Old Road,LS16 6HN,Restaurant,Weetwood,Y,LS16,21999,72151145,53.845417,-1.601274,438871,426331,Y,,,,,Glass,1,,3,"5,303","5,002","4,892","4,886","6,515","4,216","4,021","6,263","6,959",,"4,533",,"5,328","5,975","4,587","6,848","5,188",85,364,,"5,148","4,885","5,866","3,814","7,272","5,157","5,899","6,586","4,807","2,929","4,777","4,522","7,480","6,403","6,042","4,534",66407,"5,534"
Guiseley School,Fieldhead Road,LS20 8DT,Educational Facility,Guiseley and Rawdon,,,,72299572,53.871175,-1.717938,441700,418644,,Y,,,,Paper,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harehills Labour Club,Florence Street,LS9 7BX,Social Club,Gipton and Harehills,Y,LS9,22043,72071449,53.808361,-1.511938,434785,432237,Y,,,,,Glass,1,,1,,153,647,319,"1,033",,"1,155",724,512,380,550,352,485,,705,,388,"2,894","1,685","3,906",165,658,711,478,269,481,341,207,321,,91,"3,655",,950,580,,6895,766
Harewood Village Hall,Church Lane,LS17 9LJ,Business,Harewood,Y,LS17,22278,72387617,53.902591,-1.513808,445268,432042,Y,,,,,Glass,1,,3,,,,,,,,,,,,,,,657,494,939,"1,125",,"3,575",708,886,996,346,,"1,769",440,"1,447",607,,,489,"1,528",292,"1,177",,7749,969
Hawksworth Wood Conservative Club,Cragside Walk,LS5 3LX,Social Club,Kirkstall,Y,LS5,22047,72051298,53.829731,-1.620339,437119,425086,Y,,,,,Glass,1,,3,,,"1,747","1,756",,535,,"2,357","1,001","2,083","1,660","1,716",,"3,399",,"2,260","1,491",186,,,"2,244","1,563",809,"1,427",982,"2,586",592,720,0,"2,221",657,"2,181","3,954",978,,977,15847,"1,441"
Headingley Taps Public House,"North Lane, Headingley",LS6 3HN,Pub,Headingley,,LS6,22049,72565717,53.820562,-1.579651,436114,427770,Y,Y,Y,Y,,"Glass, Paper, Textile, Small Electrical Appliances",1,,3,"3,215","2,709","7,114",,"4,613","4,570","1,095","2,460","4,018","2,723","3,850","2,684","1,993","3,112","4,464","2,755","3,014",,190,,"3,105","2,544","2,074","2,891","2,771","3,668","2,533","11,342","2,113","2,466","3,379","2,447",935,"2,976","1,282","2,698",38610,"3,218"
Highways Office,Middleton Ringroad,LS10 4AX,Council Office,Middleton Park,,LS10,22050,72674864,53.746467,-1.536856,427888,430641,Y,,,,,Glass,1,,1,,383,,,170,,134,,,,,150,,,,441,,,,,,,593,,,232,,,,,677,,,,,,909,455
Hinsley Hall,62 Headingley Lane,LS6 2BX,Hotel,Headingley,,LS6,22052,72662567,53.819674,-1.570045,436019,428403,Y,,,,,Glass,1,,1,,,,512,,534,,388,,,,697,,312,,171,,,,,332,,,313,,564,,226,,,64,486,117,0,,379,1836,262
Holbeck Community Centre,"90A Elland Road, Holbeck", LS11 0AB,Community Centre,Beeston and Holbeck,,LS11,23141,72548760,53.781479,-1.561716,431773,428978,Y,,,,,Glass,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,195,253,,245,,274,,288,"1,568",,0,2823,403
Holbeck WMC,"3 Jenkinson Lawn, Holbeck",LS11 9QX,Pub,Beeston & Holbeck,,LS11,23159,72740058,53.785324,-1.555106,432203,429440,Y,,,,,Glass,1,,,,,,,,,,,,,,,,,,,,,,,,,,371,,390,,328,270,,402,,217,777,289,,2673,382
Holiday Inn,"Wakefield Road, Garforth",LS25 1LH,Hotel,Garforth and Swillington,Y,LS25,22053,72329956,53.785244,-1.404626,432267,439325,Y,,,,,Glass,1,,2,628,941,,"1,093","1,001",911,"1,662",814,579,"1,184",257,944,145,615,282,"1,067",483,300,547,844,"1,173",,"1,051","1,122",,"1,058",,736,979,86,503,672,741,519,90,627,6011,601
Horsforth Cricket Club,"King Georges Playing Field, Brownberrie Lane, Horseforth",LS18 5SB,Sports Club,Horsforth,Y,LS18,22057,72553164,53.846754,-1.637406,439007,423953,Y,,,,,Glass,1,,1,,,582,"1,436","1,759","1,003",640,666,440,274,256,191,,575,645,553,543,,720,410,383,565,960,,268,529,257,284,820,362,,576,191,"1,624",516,206,5632,512
Hunslet Carr Sports & Social,Moor Road,LS10 2JJ,Social Club,City and Hunslet,Y,LS10,22059,72548455,53.772012,-1.532266,430732,430925,Y,,,,,Glass,1,,3,161,208,"1,755",341,751,770,801,,938,135,"1,010",,,948,,616,137,,"13,866","12,070",165,"1,128",,,,,,78,,689,968,176,492,"1,068",,,3471,578
Hunslet Green Community Sports Club,"The Oval, Hunslet",LS10 2AT,Sports Club,City and Hunslet,Y,LS10,22058,72548513,53.779373,-1.532093,431551,430931,Y,,,,,Glass,1,,3,,575,,,147,,610,,737,,,534,,517,575,352,,,336,257,,254,,,,,"12,734",,80,,,,0,0,,,12815,"3,204"
HWSS Ellar Ghyll,"Bradford Road, Otley",LS21 3DN,HWSS,Otley and Yeadon,Y,LS21,22066,72554769,53.896333,-1.730111,444496,417833,Y,Y,Y,Y,,"Glass, Paper, Textile, Shoes, Books, Small Electrical Appliances",1,,6,"11,653","19,087",,"13,999","18,412","10,066","8,824","10,708","22,428","18,135","15,130","11,076","14,911","17,801","13,613","12,220","15,347","9,998","13,202","10,236","20,799","18,796","12,464","11,479","14,794","17,070","14,628","19,082","13,269","12,453",,"11,081","11,488","12,357","12,887","11,683",150791,"13,708"
HWSS Kirkstall,Kirkstall Road,LS4 2HR,HWSS,Kirkstall,Y,LS4,22062,72168115,53.806303,-1.584799,434526,427440,Y,Y,Y,Y,,"Glass, Paper, Textile, Shoes, Books, Small Electrical Appliances",1,,4,,,,,,,,,,,,"3,182","5,255","6,846","5,879","8,405","6,957","6,562","9,742","3,439","6,145","9,560","5,372",,,,"21,030",,,,,,,,,,21030,"21,030"
HWSS Meanwood,Meanwood Road,LS7 2LP,HWSS,Chapel Allerton,Y,LS7,22985,72130391,53.819615,-1.55364,436019,429483,Y,Y,Y,Y,,"Glass, Paper, Textile, Shoes, Books, Small Electrical Appliances",1,,10,,,,,,,,,,,,,,,"24,068","23,332","17,444",191,,,"24,480","31,690","19,342","18,968","22,914","24,256",154,"41,076","30,075","15,041",,"20,458","56,069","33,062","26,336","31,550",300991,"27,363"
HWSS Middleton,"Holmewell Road, Middleton",LS10 4TQ,HWSS,Middleton Park,Y,LS10,22063,72568081,53.748932,-1.528682,428166,431178,Y,Y,Y,Y,,"Glass, Paper, Textile, Shoes, Books, Small Electrical Appliances",1,,7,"9,600","13,183","19,656","14,536","18,484","12,774","15,589","10,764","20,889","17,387","9,733","16,283","17,744","14,679","20,809","18,175","12,470","17,404","18,898","18,069","15,321","21,969","12,891","11,620","19,171","14,546","12,734","14,823","9,042","12,862","9,848","10,849","15,057","23,957","13,432","11,840",168161,"14,013"
HWSS Pudsey Grangefield,Richardshaw Road,LS28 6LG,HWSS,Calverley and Farsley,Y,LS28,22060,72394172,53.804812,-1.654745,434335,422835,Y,Y,Y,Y,,"Glass, Paper, Textile, Shoes, Books, Small Electrical Appliances",1,,3,"13,906","14,606","11,286","12,968","18,484","11,716","11,909","13,596","16,617","19,233","12,461","13,810","14,793","12,529","14,012","14,281","11,424","12,231","15,352","12,284","10,948","16,900","13,233","9,605","13,056","11,238","12,230","11,462","11,280",,"8,942","9,675","13,289","11,199","10,209","9,228",121807,"11,073"
HWSS Seacroft,Limewood Approach,LS14 1LU,HWSS,Killingbeck and Seacroft,Y,LS14,22228,72119915,53.827845,-1.465084,436975,435306,Y,Y,Y,Y,,"Glass, Paper, Textile, Shoes, Books, Small Electrical Appliances",1,,6,"17,372","20,689","20,069","23,129","21,052","23,105","16,361","14,603","25,286","28,231","17,100","21,482","24,292","24,826","23,155","23,781","20,526","1,109","1,398","1,165","17,809","28,476","18,693","16,842","21,816","20,626","23,866","22,225","21,475","16,752","16,729","15,223","21,091","17,580","13,059","18,405",228847,"19,071"
HWSS Thorp Arch,Thorp Arch Trading Estate,LS23 7BJ,HWSS,Wetherby,Y,LS23,22065,72651978,53.905913,-1.318889,445743,444845,Y,Y,Y,Y,,"Glass, Paper, Textile, Shoes, Books, Small Electrical Appliances",1,,5,"12,043","9,893","14,650","16,850","9,531","11,216","11,004","13,505","18,351","18,609","9,761","12,807","12,692","12,466","12,114","13,556","11,697","20,505","25,171","13,171","11,531","18,780","9,562","10,465","12,744","10,607","13,210","11,129","11,136","9,667","12,070","7,976","12,394","8,714","8,134","10,812",128594,"10,716"
HWSS Yeadon,Milner Road,LS19 7JE,HWSS,Guiseley and Rawdon,Y,LS19,22066,72524755,53.865496,-1.703174,441072,419617,Y,Y,Y,Y,,"Glass, Paper, Textile, Shoes, Books, Small Electrical Appliances",1,,4,"22,063","28,531","14,098","11,533","18,483","10,656","13,045","24,169","29,552","32,658","24,966","19,970",26,"20,961","20,898","23,525","27,509","20,301","20,661","18,711","10,337","30,607","23,065","17,013","22,279","28,089","21,030","26,897","19,878","18,414","25,008","18,088","33,158","20,324","19,143","20,844",273154,"22,763"
"Hyde Park Car Park, Site 2",Woodhouse Lane,LS6 1AQ,Car Park,Hyde Park and Woodhouse,Y,LS6,22354,72136753,53.814328,-1.561478,435428,428971,Y,Y,,,,"Glass, Paper",1,,2,147,258,"1,137",733,796,445,484,876,786,721,"1,009",682,,,,428,868,,547,,917,502,655,289,637,651,604,646,347,143,386,562,271,650,320,750,5966,497
Hyde Park Centre,Hyde Park,,Road Side,Hyde Park and Woodhouse,,,23106,,53.811696,-1.560086,435135,429064,Y,,,,,Glass,1,,2,,,,,,,,,,,,,,,,,,549,,"1,196",,,,,,,,,,,,,,,,,0,#DIV/0!
"Hyde Park Centre, Site 5","Hyde Park, Band Stand",LS6 1,Park,Hyde Park and Woodhouse,,LS6,22574,,53.810885,-1.560983,435045,429006,Y,,,,,Glass,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,857,,,,,,,,,,857,857
"Hyde Park Pathway, Site 4","Hyde Park, Hyde Park Rd",LS6 1SJ,Road Side,Hyde Park and Woodhouse,Y,LS6,22305,72175654,53.812404,-1.563674,435213,428827,Y,Y,,,,Glass,1,,3,,,,,,,,,,,,,,,,346,400,,,,868,667,"1,143","1,529","1,038","1,449","2,322","1,253",867,554,"1,475",988,800,593,"1,276","1,513",14126,"1,177"
"Hyde Park Roadside, Site 3",Hyde Park Road Side,LS6 1AG,Road Side,Hyde Park and Woodhouse,Y,LS6,22187,72136753,53.814317,-1.561899,435426,428943,Y,,Y,,,"Glass, Textile",1,,2,"1,217",620,"2,888",925,887,996,479,"1,452","1,120",532,923,"1,130",699,"1,810","1,535",787,635,479,,154,,,877,,877,"1,036","1,346",443,689,560,"1,199",696,383,332,572,743,8875,740
Ings Hotel,Ings Lane,LS20 9HR,Pub,Guiseley and Rawdon,,LS20,22068,72293019,53.881733,-1.720514,442874,418470,Y,,,,,Glass,1,,1,639,,"2,233",183,963,752,831,"1,090",,535,524,,576,,"2,493",339,662,,,,606,743,463,621,"1,096",750,257,213,725,543,632,558,413,350,249,801,6588,549
ITV Yorkshire,"Television House, 106 Kirkstall Road",LS3 1JS,Business,Armley,Y,LS3,22311,72112762,53.803145,-1.569971,434180,428419,Y,,,,,Glass,1,,3,,,,"1,280",,,,,,,,,,,,"1,505",,,,741,323,,0,,,975,"1,147",,540,,464,,,130,,,3257,651
