Site Name,Address,Post Code,Location Type,Ward,Sticker,Postcode area,Site Number,UPRN,Latitude,Longitude,y,x,Recyclables-Mixed Glass,Recyclables-Paper,Recyclables-Textiles,Recyclables Small Electrical,Non LCC Banks,Type,Tally of Sites,Cleaning,No of  Glass Banks,04/19 Glass Tonnages Kg,05/19 Glass Tonnages Kg,06/19 Glass Tonnages Kg,07/19 Glass Tonnages Kg,08/19 Glass Tonnages Kg,09/19 Glass Tonnages Kg,10/19 Glass Tonnages Kg,11/19 Glass Tonnages Kg,12/19 Glass Tonnages Kg,01/20 Glass Tonnages Kg,02/20Glass Tonnages Kg,03/20 Glass Tonnages Kg,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapel Allerton Tennis Sqush and GymClub ,Wensley Avenue,LS7 3QX,Leisure Centre,Chapel Allerton,,LS7,22075,72559687,53.829902,-1.540768,437169,430323,Y,,,,,Glass,1,,1,545,520,575,155,921,694,427,593,1098,900,499.82,671.06,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapel Street Social Club,Chapel Street,LS15 7RN,Social Club,Temple Newsam,Y,LS15,21950,72562231,53.796769,-1.468257,433516,435123,Y,,,,,Glass,1,,3,761,"2,118","1,607","1,597","1,018","1,278","1,190",967,1155,2414,1931.15,1303.56,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapeltown Housing Library,Reginald Terrace,LS7 3EX,Council Office,Chapel Allerton,Y,LS7,21951,72681718,53.81767,-1.531697,435812,430929,Y,,,,,Glass,1,,1,,439,337,,493,285,,320,,552,142.74,172.66,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlie Bretts at The Allerton formely Leeds Seventeen,Nursery Lane,LS17 7HW,Restaurant,Alwoodley,,LS17,22079,72146612,53.852306,-1.544354,439660,430071,Y,,,,,Glass,1,,3,,"1,009","1,359",,,0,"1,337",2042,2002,3489,1527.65,2360.08,,,,,,,,,,,,,,,,,,,,,,,,,,
Chequers Inn,"Claypit Lane, Ledsham",LS25 5LP,Pub,Kippax and Methley,,LS25,21952,72393541,53.762153,-1.310796,429754,445532,Y,Y,,,,"Glass, Paper",1,,3,"1,543",,"2,010",,"1,365",983,"1,686",,690,1034,,758.82,,,,,,,,,,,,,,,,,,,,,,,,,,
Coach & Horses ,"71 Wakefield Road, Robin Hood ",LS26 0SF,Pub,Ardsley and Robin Hood,Y,LS26,21957,72373027,53.748778,-1.507761,428158,432558,Y,,,,,Glass,1,,1,,927,,610,707,406,"1,321",704,533,718,702.23,651.78,,,,,,,,,,,,,,,,,,,,,,,,,,
Cock Beck Inn,Pendas Way Seacroft,LS15 8LA,Pub,Cross Gates and Whinmoor,Y,LS15,21958,72538870,53.815535,-1.438417,435619,437072,Y,,,,,Glass,1,,1,504,"1,019","1,437",639,"2,150","1,056","1,129",1361,1937,2094,1722.82,2119.86,,,,,,,,,,,,,,,,,,,,,,,,,,
Cockshott Lane,opp Wyther Park Road,LS12 7RQ,Road Side,Armley,,LS12,21959,72050867,53.805101,-1.609456,434383,425817,Y,,,,,Glass,1,,1,"1,342","1,276",965,"1,174","1,005",624,921,699,1407,734,785.48,1342,,,,,,,,,,,,,,,,,,,,,,,,,,
College of Music,3 Quarry Hill,LS2 7PD,Educational Facility,City and Hunslet,Y,LS2,23125,72646165,53.797208,-1.532623,433535,430883,Y,,,,,Glass,1,,1,,621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colton Sports & Social,School Lane,LS15 9HH,Sports Club,Temple Newsam,,LS15,21960,72245706,53.793078,-1.439461,433120,437023,Y,,,,,Glass,1,,1,303,,,648,,,582,,,673,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cookridge Hall (Esporta Sports Club),Cookridge Lane,LS16 7NL,Leisure Centre,Adel and Wharfedale,,LS16,21998,72655222,53.861768,-1.610166,440687,425736,Y,,,,,Glass,1,,1,277,110,,252,,,422,,,268,,277,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Beeston   Super 'C',"Town Street, Beeston",LS11 8PN,Shops,Beeston and Holbeck,Y,LS11,22251,72652832,53.812206,-1.577867,435185,427893,Y,,,,,Glass,1,,5,,"5,051","4,854","5,015","4,427","3,728","3,528",3459,4555,4979,3702.46,4102.48,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Burley Station,132 Cardigan Road,LS6 1LU,Shops,Headingley,Y,LS6,21965,72733326,53.812256,-1.576773,435191,427965,Y,,,,,Glass,1,,5,"3,394","6,591","7,944","4,669","6,595","2,123","5,485",3197,4838,6202,4595.64,6356.14,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Kippax,"60 High Street, Kippax",LS25 7AB,Shops,Kippax and Methley,Y,LS25,21966,72324458,53.766349,-1.367619,430186,441782,Y,Y,,,,"Glass, Paper",1,,4,,"6,707","10,273","7,687","8,598","7,161","7,921",6962,16481,9142,7054.41,9197.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op School Lane,Stainbeck Lane,LS7 3PJ,Shops,Chapel Allerton,Y,LS7,21967,72737735,53.772444,-1.565809,430766,428714,Y,,,,,Glass,1,,4,"15,828","15,766","14,276","23,949","13,261","12,842","11,410",10810,,13254,11170.88,11205.61,,,,,,,,,,,,,,,,,,,,,,,,,,
Corner House Club,Lidgett Lane,LS17 6QE,Social Club,Moortown,Y,LS17,21968,72522938,53.841514,-1.533513,438464,430792,Y,,,,,Glass,1,,1,"4,895","1,955","2,862","4,027","3,375","3,470","2,843",3598,5859,3543,,4895,,,,,,,,,,,,,,,,,,,,,,,,,,
Corpus Christi Catholic Mens Club,Halton Moor Avenue,LS9 0HD,Social Club,Temple Newsam,,LS9,21969,72560923,53.798579,-1.483356,433710,434127,Y,,,,,Glass,1,,3,348,665,0,551,365,379,347,,508,667,337.32,486,,,,,,,,,,,,,,,,,,,,,,,,,,
Cottingley Shops Car Park,Cottingley Vale,LS11 0JY,Shops,Beeston and Holbeck,,LS11,22317,72254886,53.769092,-1.583685,430386,427538,Y,,,,,Glass,,,,0,,,619,349,,321,,369,,566.51,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cricketers Arms,"The Green, Seacroft",LS14 6JW,Pub,Killingbeck and Seacroft,Y,LS14,21975,72210056,53.819923,-1.460293,436096,435628,Y,,,,,Glass,1,,1,871,227,0,558,443,581,285,441,165,336,258.62,708.85,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossgates & Dist. Rec Hall,"Poplar Avenue, Crossgates",LS15 8ED,Social Club,Cross Gates and Whinmoor,Y,LS15,21976,72159210,53.806648,-1.446584,434626,436542,Y,,,,,Glass,1,,3,"1,413","1,954",,601,"4,903",,"1,190",2187,,1309,,1928.32,,,,,,,,,,,,,,,,,,,,,,,,,,
