Site Name,Address,Post Code,Location Type,Ward,Sticker,Postcode area,Site Number,UPRN,Latitude,Longitude,y,x,Recyclables-Mixed Glass,Recyclables-Paper,Recyclables-Textiles,Recyclables Small Electrical,Non LCC Banks,Type,Tally of Sites,Cleaning,No of  Glass Banks,04/19 Glass Tonnages Kg,05/19 Glass Tonnages Kg,06/19 Glass Tonnages Kg,07/19 Glass Tonnages Kg,08/19 Glass Tonnages Kg,09/19 Glass Tonnages Kg,10/19 Glass Tonnages Kg,11/19 Glass Tonnages Kg,12/19 Glass Tonnages Kg,01/20 Glass Tonnages Kg,02/20Glass Tonnages Kg,03/20 Glass Tonnages Kg,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadside,Spring Road,LS6 3BW,Road Side,Headingley,,LS6,22323,72679662,53.815805,-1.57066,435588,428365,Y,,Y,,,"Glass, Textile",,,1,"1,453",406,502,902,840,537,732,606,1514,764,1407.43,1453,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadside,"1 - 3 Burley Road, Marston House",LS3 1JZ,Road Side,Burley,Y,LS3,22603,,,,,,Y,,,,,Glass,1,,1,,,,,87,,,,95,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadside,"A58, Weatherby Road Layby, north side",LS22 5DR,Road Side,Harewood,Y,LS22,22348,72388485,53.918439,-1.395456,447198,439802,Y,,,,,Glass,1,,2,,,,,"5,033","4,534","4,475",6102,5857,9473,"5,228","3,127",,,,,,,,,,,,,,,,,,,,,,,,,,
Roadside,"A58, Weatherby Road Layby 2, South Side",LS22 5DR,Road Side,Harewood,Y,LS22,22348,72388485,53.918439,-1.395456,447198,439802,Y,,,,,Glass,1,,2,,,,,"2,939","2,698","3,331",4837,5700,4276,"4,308","2,849",,,,,,,,,,,,,,,,,,,,,,,,,,
Roadside,"Ghyll Royd, Guiseley, Yeadon, Leeds ",LS20 9LT,Road Side,Guiseley and Rawdon,Y,LS20,,,53.867235,-1.706707,441265,419384,Y,,,,,Glass,1,,1,,,,,,371,393,342,793,1153,546,814,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadside,"St, Peters Square ",LS9 8AH ,Road Side,City Centre,Y,LS9,,72573174,53.797228,-1.533471,433537,430827,Y,,,,,Glass,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadside,Maude St' Car Park,LS2 7DJ,Road Side,City Centre,Y,LS2,,72562342,53.795087,-1.534698,433298,430748,Y,,,,,Glass,1,,1,,,,,,,,,75,,,198,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadside,Armouries Way ,LS10 1PJ,Road Side,City and Hunslet,Y,LS10,,,53.792685,-1.534359,433031,430772,Y,,,,,Glass,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadside ,"Robin Hood, Wakefield Road, Robin Hood",WF3 3BH,Road Side,Ardsley and Robin Hood,Y ,WF3,22199,72371985,53.736392,-1.506665,426781,432640,Y,,,,,Glass,1,,1,"2,126","1,727","1,426","2,408",988,"1,268","1,745",1185,2547,1360,1266.57,2125.89,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadside ,Atkinson Street,LS10 1QB,Road Side,City and Hunslet,,LS10,22391,,53.785038,-1.526284,432184,431310,Y,,,,,Glass,4,,,"1,019",328,959,660,548,752,340,559,1039,1137,481,1018.85,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadside ,"Smithy Lane, Fomer Garages, East Ardsley",WF3 1QQ,Roadside,Ardsley and Robin Hood,Y,WF3,23158,,53.728546,-1.563949,425883,428867,,,,,,,,,,,,,,3779.28,,,,,,,2992.29,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadside ,"Near Park, Harehills Rd",LS8 5HS,Road Side,Gipton and Harehills,,LS8,22197,,53.812302,-1.517335,435221,431879,Y,,,,,Glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocol,"Wakefield Road, Swillington",LS26 8BS,Business,Garforth and Swillington,,LS26,22209,72524885,53.770939,-1.416633,430669,438547,Y,,,,,Glass,1,,1,,,,,,,,,,,527,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rossefield Manor,Rossefield Lawn,LS13 3RU,Road Side,Bramley and Stanningley,,LS13,22212,72681490,53.807311,-1.628232,434622,424580,Y,Y,,,,"Glass, Paper",1,,,169,509,294,254,712,,339,492,,281,275.25,169,,,,,,,,,,,,,,,,,,,,,,,,,,
Rothwell Athletic and Squash Club,"Royds Lane, Rothwell",LS26 0BE,Sports Club,Rothwell,Y,LS26,22213,72377624,53.746378,-1.47179,427908,434932,Y,,,,,Glass,1,,3,878,697,795,976,886,508,406,794,1279,436,1013.05,878.26,,,,,,,,,,,,,,,,,,,,,,,,,,
Rothwell Labour Club,"Fifth Avenue, Rothwell",LS26 0HG,Social Club,Rothwell,Y,LS26,22214,72376599,53.755863,-1.468243,428965,435158,Y,,,,,Glass,1,,2,764,504,,75,463,0,457,,750,101,370.85,764.44,,,,,,,,,,,,,,,,,,,,,,,,,,
Rothwell Leisure Centre,Wakefield Road,LS26 8EL,Leisure Centre,Rothwell,Y,LS26,22215,72556215,53.744221,-1.451772,427678,436254,Y,Y,,,,"Glass, Paper",1,,3,"1,585","1,877","3,951","2,522","2,820","2,273","4,176",2380,3393,3211,2490.55,1585.13,,,,,,,,,,,,,,,,,,,,,,,,,,
Rothwell W.M.C,"Marsh Street,Rothwell",LS26 0BB,Social Club,Rothwell,Y,LS26,22216,72377468,53.748039,-1.477562,428090,434550,Y,,,,,Glass,1,,1,343,"1,310",508,0,434,724,519,656,,805,,342.79,,,,,,,,,,,,,,,,,,,,,,,,,,
Roundhay Park - Car Park,Princess Avenue,LS8 2ER,Car Park,Roundhay,Y,LS8,22217,72161903,53.837056,-1.504446,437981,432708,Y,,,,,Glass,1,,3,"9,800","9,166","7,909","8,031","6,974","13,315","6,979",7406,12170,10545,8867.28,9800,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Armouries Museum,Armouries Drive,LS10 1LT,Business,City and Hunslet,Y,LS10,22219,72672535,53.789749,-1.532335,432705,430907,Y,,,,,Glass,1,,3,"1,411",,0,,936,,167,,,788,,1410.92,,,,,,,,,,,,,,,,,,,,,,,,,,
Sainsburys,King Lane,LS17 5NY,Shops,Alwoodley,Y,LS17,22224,72505272,53.84409,-1.553836,438948,429702,Y,Y,,,,"Glass, Paper",1,,10,"25,111","17,238","23,047","24,132","26,669","20,011","25,512",25291,32146,32512,21964.76,25111,,,,,,,,,,,,,,,,,,,,,,,,,,
Sainsburys,"11 Bondgate, Otley",LS21 3AB,Shops,Otley and Yeadon,Y,LS21,,72673452,53.902867,-1.692536,445233,420299,Y,Y,,,,"Glass, Paper",1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarcroft Golf Club,Syke Lane,LS14 3BQ,Sports Club,Harewood,Y,LS14,22226,72388841,53.873111,-1.453388,442017,436037,Y,,,,,Glass,1,,3,"1,903",,"1,878",,,"1,757",,,1859,764,,1903.45,,,,,,,,,,,,,,,,,,,,,,,,,,
Seacroft Village Hall,980 York Road,LS14 6JS,Community Centre,Killingbeck and Seacroft,,LS14,6,72241262,53.818413,-1.458353,435929,435757,Y,,,,,Glass,1,,1,710,,500,558,297,254,143,,495,443,0,710,,,,,,,,,,,,,,,,,,,,,,,,,,
Seacroft WMC,Ironwood View,LS14 6EW,Social Club,Killingbeck and Seacroft,Y,LS14,22230,72535235,53.814864,-1.468727,435529,435077,Y,,,,,Glass,1,,2,355,,565,482,,,,607,,295,67.07,354.95,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheepscar WMC,Savile Drive,LS7 3EJ,Social Club,Chapel Allerton,Y,LS7,22232,72700327,53.813911,-1.538012,435391,430516,Y,,,,,Glass,1,,1,416,584,479,317,345,,736,,789,194,388.32,416,,,,,,,,,,,,,,,,,,,,,,,,,,
Sholebroke Mount,Chapeltown,LS7 3JG,Road Side,Chapel Allerton,,LS7,22233,72184850,53.819112,-1.538433,435969,430484,Y,,,,,Glass,1,,1,545,170,591,671,940,979,608,190,950,515,615.41,545,,,,,,,,,,,,,,,,,,,,,,,,,,
South Leeds Conservative Club,"Wooler Street, Beeston",LS11 7JH,Social Club,Beeston and Holbeck,,LS11,22236,72237921,53.772184,-1.561869,430739,428974,Y,,,,,Glass,1,,2,"1,202","1,165",724,890,,"1,388","2,383",983,1031,622,356.77,1202,,,,,,,,,,,,,,,,,,,,,,,,,,
South Leeds Stadium,Middleton Grove,LS11 5DJ,Leisure Centre,Middleton Park,,LS11,22237,72687558,53.764302,-1.541939,429870,430293,Y,,,,,Glass,1,,1,,,716,325,,,210,,,509,94.42,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Chads Parish Centre,"Otley Road, Far Headingley",LS16 5JT,Community Centre,Weetwood,,LS16,22240,72151740,53.828489,-1.584571,436994,427441,Y,,,,,Glass,1,,1,"1,368",653,820,,497,572,"1,025",,1933,1695,919.2,1368.18,,,,,,,,,,,,,,,,,,,,,,,,,,
St Gemmas Hospice,329 Harrogate Road,LS17 6QD,Business,Moortown,Y,LS17,22241,72202182,53.84405,-1.508954,438757,432406,Y,,,,,Glass,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St James the Great Church,Galloway lane,LS28 8JR,Place of Worship,Calverley and Farsley,,LS28,23129,72277675,53.801866,-1.69165,433996,420406,Y,,,,,Glass,1,,1,746,"1,205","1,627","1,495","1,787",673,,1716,747,1725,1169.01,745.56,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Helenas Caravan Park,Otley Old Road,LS18 5HZ,Caravan Park,Adel and Wharfedale,,LS18,22243,72271114,53.875007,-1.635596,442151,424056,Y,,,,,Glass,1,,1,,504,550,748,,586,210,,705,642,343.48,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station Garden (closed),Linton Road,LS22 6SD,Transport,Wetherby,Y,LS22,22245,72674919,53.930128,-1.396444,448391,439727,Y,,,,,Glass,1,,5,"5,847","11,733","4,737","7,034","10,112","6,610","4,242",7065,7921,12074,3242.23,5847.38,,,,,,,,,,,,,,,,,,,,,,,,,,
Station Inn,"27 Henshaw Lane, Yeadon",LS19 7RZ,Pub,Otley and Yeadon,Y,LS19,22246,72303558,53.860821,-1.689149,440556,420542,Y,,,,,Glass,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stump Cross Inn,"Britannia Road, Morley",LS27 0DD,Pub,Morley South,,LS27,22249,72349765,53.736799,-1.605608,426785,426113,Y,,,,,Glass,1,,1,109,409,,461,534,,393,373,678,,378.72,108.81,,,,,,,,,,,,,,,,,,,,,,,,,,
Swarcliffe WMC,Swarcliffe Avenue,LS14 5HD,Social Club,Cross Gates and Whinmoor,Y,LS14,22252,72542047,53.820552,-1.446507,436173,436535,Y,,,,,Glass,1,,3,758,"1,606",556,"1,285","1,210",735,"1,218",911,1817,1773,517.24,757.88,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweet Basil / China Red,"Green Lane, Rawdon",LS19 7BY,Restaurant,Guiseley and Rawdon,Y,LS19,21954,72564759,53.857743,-1.687575,440214,420647,Y,,,,,Glass,1,,1,912,"1,525",584,600,502,479,703,413,769,451,515.55,912,,,,,,,,,,,,,,,,,,,,,,,,,,
Swillington Miners Welfare Club,9 Wakefield Road. Swillington,LS26 8DT,Social Club,Garforth and Swillington,,LS26,22253,72329991,53.767035,-1.41963,430233,438353,Y,,,,,Glass,1,,1,0,961,622,976,"1,590",925,499,430,1360,622,1043.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Swillington Social Club,"Astley Lane, Swilllington",LS26 8UE,Social Club,Garforth and Swillington,Y,LS26,22255,72329401,53.766185,-1.418535,430139,438426,Y,,,,,Glass,1,,1,0,266,,,,651,,,259,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Temple Newsam Golf,"Temple Newsam Park Club House, Templenewsam Road, Halton",LS15 0LN,Business,Temple Newsam,Y,LS15,22260,72551547,53.791027,-1.472656,432875,434838,Y,,,,,Glass,1,,1,761,390,,301,,730,,352,,,704.14,761.38,,,,,,,,,,,,,,,,,,,,,,,,,,
Tescos,Aberford Road,LS25 2DX,Shops,Garforth and Swillington,Y,LS25,22261,72563522,53.797395,-1.383123,433631,440730,Y,Y,,,,"Glass, Paper",1,,6,"13,682","10,083","15,485","14,802","12,331","16,743","12,296",13432,17142,18548,,23163.63,,,,,,,,,,,,,,,,,,,,,,,,,,
Tescos,"Seacroft Green Shopping Centre, York Road",LS14 6JD,Shops,Killingbeck and Seacroft,Y,LS14,22262,72507829,53.821641,-1.460651,436287,435603,Y,Y,,,,"Glass, Paper",1,,6,"15,026",,"12,172","16,668","12,421","12,171","10,517",11464,18275,17354,13167.02,15025.85,,,,,,,,,,,,,,,,,,,,,,,,,,
Tescos,Roundhay Road,LS8 4BU,Shops,Roundhay,Y,LS8,22263,72175056,53.822693,-1.51089,436380,432295,Y,Y,,,,"Glass, Paper",1,,12,"30,054","27,083","21,551","25,708","18,261","22,567","19,788",20803,24016,27527,12248.35,30054.42,,,,,,,,,,,,,,,,,,,,,,,,,,
The Albion Pub,Clifford,LS23 6HU,Pub,Wetherby,Y,LS23,21904,72546748,53.896598,-1.349051,444688,442873,Y,,,,,Glass,1,,1,530,0,132,429,,0,,281,,415,24225.91,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Anglers Club,75 Stoney Rock Lane,LS9 7TB,Social Club,Burmantofts and Richmond Hill,,LS9,21908,72142755,53.801174,-1.524183,433980,431436,Y,,,,,Glass,1,,1,,,,735,,506,,,534,,1225.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Arkle Pub,"Springfield Avenue, Morley",LS27 9PP,Pub,Morley North,,LS27,21909,72359594,53.753444,-1.607833,428636,425956,Y,,,,,Glass,1,,1,870,,508,703,,533,,,,624,171.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Barnbow Pub,Austhorpe Road,LS15 8EH,Pub,Cross Gates and Whinmoor,Y,LS15,21913,72010351,53.807989,-1.443044,434777,436774,Y,,,,,Glass,1,,1,,353,,622,636,,298,,,436,755.34,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Beacon Pub,"Broard Lane, Bramley",LS13 3ER,Pub,Bramley and Stanningley,,LS13,21916,72027942,53.811951,-1.643099,435133,423598,Y,,,,,Glass,1,,,,,594,509,268,217,285,141,,598,154.39,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Beech Hotel,"8 Tong Road, Wortley",LS12 1HX,Pub,Armley,,LS12,22989,72215515,53.790874,-1.574514,432813,428128,Y,,,,,Glass,1,,1,310,,364,,396,115,,,402,381,367.27,0,,,,,,,,,,,,,,,,,,,,,,,,,,
The Boundry House (former Rose & Crown),"24 Church Side, Methley",LS26 9EE,Pub,Kippax and Methley,Y,LS26,22101,72379293,53.73479,-1.409675,426651,439039,Y,,,,,Glass,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Brick,Tong Road,LS12 3TP,Pub,Farnley and Wortley,,LS12,21931,72216134,53.793066,-1.605718,433045,426071,Y,,,,,Glass,1,,,518,403,822,447,449,271,707,412,606,520,414.03,625.09,,,,,,,,,,,,,,,,,,,,,,,,,,
The Broadway,Dewsbury Road,LS11 5LD,Pub,Beeston and Holbeck,Y,LS11,21936,72057798,53.767707,-1.553478,430244,429530,Y,,,,,Glass,1,,1,481,,,669,546,694,246,,,,,481,,,,,,,,,,,,,,,,,,,,,,,,,,
The Brownlee (former Grey Horse Public House),"Long Row, Horsforth",LS18 5AA,Pub,Horsforth,Y,LS18,22039,72307672,53.842434,-1.635559,438527,424077,Y,,,,,Glass,1,,1,653,,486,671,,253,,710,226,1574,274.48,652.99,,,,,,,,,,,,,,,,,,,,,,,,,,
The Butterbowl,Butterbowl Drive,LS12 5JQ,Pub,Farnley and Wortley,Y,LS12,21942,72720850,53.785827,-1.610157,432238,425783,Y,,,,,Glass,1,,1,"1,135",689,425,"1,018",620,361,"1,059",538,1099,447,786.85,1135,,,,,,,,,,,,,,,,,,,,,,,,,,
The Commercial Pub,Whingate,LS12 3HZ,Pub,Armley,,LS12,21961,72238126,53.795457,-1.600185,433313,426434,Y,,,,,Glass,1,,3,"5,103","1,939","1,746","2,583","2,150","2,954","1,777",1614,3771,3574,2021.64,2613.91,,,,,,,,,,,,,,,,,,,,,,,,,,
The Dalesman,"Old Farm Approach, Butcher Hill",LS16 5EA,Pub,Kirkstall,,LS16,23089,72530118,53.833535,-1.606933,437547,425966,Y,,,,,Glass,1,,1,"1,016",163,"1,531",496,"1,119","1,384","1,286",1022,1086,2300,1158.02,1015.8,,,,,,,,,,,,,,,,,,,,,,,,,,
The Fleece Pub,New Road Side,LS18 4DT,Pub,Horsforth,,LS18,22010,72553034,53.833627,-1.648005,437543,423263,Y,,,,,Glass,1,,1,588,697,430,961,575,607,956,628,226,1528,456.34,1578.43,,,,,,,,,,,,,,,,,,,,,,,,,,
The Fleece Public House,Town Street,LS28 5LF,Pub,Calverley and Farsley,,LS28,22343,72276349,53.814967,-1.670184,435460,421813,Y,,,,,Glass,,,,338,684,,"1,252",883,434,"1,430",765,,1101,964.44,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Gate Hotel,Kentmere Avenue,LS14 1BA,Pub,Killingbeck and Seacroft,Y,LS14,22028,72108814,53.826362,-1.469037,436808,435047,Y,,,,,Glass,1,,3,"2,284",702,,"1,116","1,038","1,110",,1362,,3325,,827,,,,,,,,,,,,,,,,,,,,,,,,,,
The Golden Fleece,Upper Wortley Road,LS12 4JJ,Pub,Farnley and Wortley,,LS12,22036,72220513,53.791629,-1.592601,432890,426936,Y,,,,,Glass,1,,1,"3,126","1,903","3,029","3,465","2,309","1,948","2,735",2505,3860,3452,2473.81,3127.48,,,,,,,,,,,,,,,,,,,,,,,,,,
The Half Moon Inn,Harewood Road,LS22 5BL,Pub,Harewood,Y,LS22,22348,72388485,53.908309,-1.411707,445955,438745,Y,Y,,,,"Glass, Paper",2,,2,"5,842","10,370","8,391","5,948",,,,,,,,5842.19,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hollies - Bramley Liberal Club,Hough Lane,LS13 3NE,Social Club,Bramley and Stanningley,Y,LS13,22054,72102513,53.811471,-1.630239,435084,424445,Y,,,,,Glass,1,,1,216,"1,249",,279,171,,365,,226,113,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Lord Darcy,618 Harrogate Road,LS17 8EH,Pub,Alwoodley,Y,LS17,22090,72534303,53.856286,-1.530111,440109,431005,Y,,,,,Glass,1,,1,"1,451","1,262",974,"1,394",929,"1,430",811,1209,1518,789,377.41,1451,,,,,,,,,,,,,,,,,,,,,,,,,,
The Marsh Inn,"70 Uppermoor, Pudsey  ",LS28 7EX,Pub,Pudsey,Y,LS28,22094,72557564,53.794639,-1.678071,433196,421304,Y,,,,,Glass,1,,1,649,,505,,342,,,723,,338,227.42,347.52,,,,,,,,,,,,,,,,,,,,,,,,,,
The Midway,"111 Queensway, Yeadon",LS19 7PL,Pub,Otley and Yeadon,Y,LS19,22106,72293978,53.871096,-1.693331,441698,420262,Y,,,,,Glass,1,,1,"1,578","1,302",582,"1,433","1,101",732,730,929,257,1139,920.25,810.77,,,,,,,,,,,,,,,,,,,,,,,,,,
The Moorgate Car Park,"Leeds Road, Kippax",LS25 7EP,Pub,Kippax and Methley,Y,LS25,22108,72555959,53.773888,-1.37403,431021,441352,Y,,,,,Glass,1,,3,"4,507","4,048",,"2,916","5,007","3,435","3,715",3381,4147,6815,3827.22,4057.54,,,,,,,,,,,,,,,,,,,,,,,,,,
The Mustard Pot,20 Stainbeck Lane,LS7 3QY,Pub,Chapel Allerton,y,LS7,22349,72196111,53.82919,-1.540153,437090,430364,Y,,,,,Glass,1,,,,,,433,,,,593,,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Nags Head,Stonebrige Lane,LS12 5AQ,Pub,Farnley and Wortley,Y,LS12,22124,72550640,53.787873,-1.620414,432462,425106,Y,,,,,Glass,1,,3,"1,230","1,422",,970,747,688,"1,869",508,,1829,1266.97,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Needless Public House,"Scotchman Lane, Morley",LS27 0NZ,Pub,Morley South,,LS27,22126,72351381,53.726283,-1.625197,425608,424827,Y,,,,,Glass,1,,1,0,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The New Inn,"Berry Lane, Great Preston",LS26 8AX,Pub,Garforth and Swillington,Y,LS26,22129,72328122,53.760719,-1.391154,429546,440236,Y,,,,,Glass,1,,1,0,,594,75,697,,432,,355,447,426.45,338,,,,,,,,,,,,,,,,,,,,,,,,,,
The New Inn now Bar 33,"33 Town Street, Farsley",LS28 5HX,Pub,Calverley and Farsley,Y,LS28,22131,72276206,53.812347,-1.671723,435168,421713,Y,,,,,Glass,1,,1,338,483,"1,142",778,535,396,830,283,707,642,1064.08,755.92,,,,,,,,,,,,,,,,,,,,,,,,,,
The New Middleton (former Middleton Social Club),Thorpe Street ,LS10 4HD,Social Club,Middleton Park,,LS10,22133,72241915,53.743295,-1.543866,427532,430181,Y,,,,,Glass,1,,3,,0,,,340,,,,,,,640,,,,,,,,,,,,,,,,,,,,,,,,,,
The New Rosco (closed),Bristol Street,LS7 1 DH,Pub,City and Hunslet,,LS7,22135,72559365,53.805127,-1.532657,434416,430875,Y,,,,,Glass,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The New Scarborough Inn,"47 Dewsbury Road, Tingley",WF3 1LH,Pub,Morley South,,WF3,22136,72546348,53.729575,-1.579923,425991,427812,Y,,,,,Glass,1,,1,454,405,"1,054",166,365,335,340,373,677,369,421.65,391.21,,,,,,,,,,,,,,,,,,,,,,,,,,
The Nook ,"Heights Drive, Armley                       ",LS12 3SU,Pub,Farnley and Wortley,,LS12,22357,72734299,53.795812,-1.615363,433347,425434,Y,,,,,Glass,1,,1,0,,,416,356,,365,,85,,176.52,0,,,,,,,,,,,,,,,,,,,,,,,,,,
The Orchard (former Grange Public House),Dib Lane,LS8 3HL,Pub,Killingbeck and Seacroft,Y,LS8,22996,72058017,53.821992,-1.487337,436313,433846,Y,,,,,Glass,1,,1,832,,644,172,615,293,360,314,0,795,76.06,832.01,,,,,,,,,,,,,,,,,,,,,,,,,,
The Original Factory Shop,"77-91 Main Street, Garforth",LS25 1AF,Shops,Garforth and Swillington,Y,LS25,22001,72562633,53.794915,-1.388625,433352,440370,Y,,,,,Glass,1,,1,"3,541","5,280","3,289","3,482","4,392","2,621","2,616",4039,4053,4101,3980.73,3540.66,,,,,,,,,,,,,,,,,,,,,,,,,,
The Owl,"1 Rodley Lane, Rodley",LS13 1LB,Pub,Calverley and Farsley,Y,LS13,22152,72273491,53.822856,-1.662739,436340,422299,Y,,,,,Glass,1,,3,8,"1,344","1,172",834,"1,529",896,881,751,1099,1674,1114.79,1281.99,,,,,,,,,,,,,,,,,,,,,,,,,,
The Pax Inn,"The Village, Wetherby, LS23 7AR",LS23 7AR,Pub,Wetherby,Y,LS23,22157,72392207,53.909477,-1.34229,446125,443304,Y,,,,,Glass,1,,3,"1,590",507,939,,590,,"1,141",,1028,1459,,1589.96,,,,,,,,,,,,,,,,,,,,,,,,,,
The Plantation,"Bodmin Approach, Middleton",LS10 4NT,Pub,Middleton Park,,LS10,22160,72023390,53.74791,-1.557054,428040,429308,Y,,,,,Glass,1,,1,,405,,709,,,333,,439,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Prospect ,"Moor Road, Hunslet",LS10 2JJ,Pub,City and Hunslet,Y,LS10,22167,72136698,53.772057,-1.534587,430736,430772,Y,,,,,Glass,1,,1,166,0,,558,,,680,,,,0,165.77,,,,,,,,,,,,,,,,,,,,,,,,,,
The Railway Club,Driver Terrace,LS12 1EA,Social Club,Armley,Y,LS12,22287,72059298,53.791744,-1.569025,432912,428489,Y,,,,,Glass,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Red Lion,"Main Street, Shadwell",LS17 8HH,Pub,Harewood,Y,LS17,22183,72126400,53.854579,-1.484309,439940,434019,Y,,,,,Glass,1,,4,"4,509","5,230","5,563","5,196","7,929","5,297","5,002",5386,8192,6971,4908.42,4508.67,,,,,,,,,,,,,,,,,,,,,,,,,,
The Robin Hood,"11 Kirk Lane, Yeadon",LS19 7EP,Pub,Otley and Yeadon,Y,LS19,22271,72566712,53.865644,-1.687441,441093,420652,Y,,,,,Glass ,,,,614,,529,456,,373,,555,339,,,614,,,,,,,,,,,,,,,,,,,,,,,,,,
The Rock,458 Leeds and Bradford Road,LS13 1EP,Pub,Bramley and Stanningley,Y,LS13,22208,72118078,53.818502,-1.636906,435864,424002,Y,,,,,Glass,1,,3,259,"1,019",812,"1,308","1,027",563,730,723,198,1560,454.85,259,,,,,,,,,,,,,,,,,,,,,,,,,,
The Spinning Wheel,"Admiral Street, Holbeck",LS11 5NG,Social Club,City and Hunslet,,LS11,22238,72527281,53.782007,-1.54378,431839,430159,Y,,,,,Glass,1,,3,"1,025",,"1,103",,,"1,885",,,,1164,152.11,1025.14,,,,,,,,,,,,,,,,,,,,,,,,,,
The Sportsman Inn,"14 Hunger Hill, Morley",LS27 9AD,Pub,Morley South,,LS27,23094,72350855,53.742617,-1.60099,427434,426414,Y,,,,,Glass,1,,1,,,,,,,677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Swinnow Hotel (closed),Swinnow Lane,LS13 4QX,Pub,Pudsey,,LS13,22256,72205780,53.799712,-1.64132,433772,423722,Y,,,,,Glass,1,,1,108,,376,,,341,,,0,,197.48,108.19,,,,,,,,,,,,,,,,,,,,,,,,,,
The Two Pointers,"69 Church St, Woodlesford",LS26 8RE,Pub,Rothwell,,LS26,,72383464,53.757864,-1.447301,429198,436537,Y,,,,,,,,,618,676,626,572,"1,137",548,692,264,690,342,228.39,618.21,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wellington Inn,"Wetherby Road, Roundhay",LS17 8LZ,Pub,Cross Gates and Whinmoor,Y,LS17,22285,72230237,53.843783,-1.467525,438747,435132,Y,,,,,Glass,1,,3,0,"1,001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thorner Victory Hall,"Carr Lane, Thorner",LS14 3EY,Business,Harewood,,LS14,22324,72389021,53.860124,-1.428515,440585,437684,Y,,,,,Glass,1,,1,761,334,526,643,454,441,556,634,318,718,0,761.38,,,,,,,,,,,,,,,,,,,,,,,,,,
Three Horse Shoes,"16 Leeds Road, Oulton",LS26 8JU,Pub,Rothwell,Y,LS26,22265,72151471,53.827773,-1.582709,436915,427564,Y,,,,,Glass,1,,1,573,,603,,370,,520,,,327,362.73,573.33,,,,,,,,,,,,,,,,,,,,,,,,,,
Tingley W.M.C,"Institute House, Bradford Road, Tingley",WF3 1JZ,Social Club,Morley South,Y ,WF3,22266,72368755,53.731472,-1.580071,426202,427801,Y,,,,,Glass,1,,3,348,,"1,864",774,,,785,,2045,0,758.97,347.68,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinshill and Cookridge Social Club,Woodnook Drive,LS16 6PF,Social Club,Weetwood,,LS16,22267,72552128,53.845331,-1.625062,438853,424766,Y,,,,,Glass,1,,1,346,,861,561,,877,924,,655,983,274.78,345.71,,,,,,,,,,,,,,,,,,,,,,,,,,
TJs Bar and Grill,Woodhouse Street,LS6 2JH,Pub,Hyde Park and Woodhouse,,LS6,22268,72558697,53.814566,-1.556762,435456,429281,Y,,,,,Glass,1,,3,545,390,572,585,,458,254,720,872,1029,444.51,545,,,,,,,,,,,,,,,,,,,,,,,,,,
